AI CYBERATTACK,DATE ARTICLE,DESCRIPTION (ABSTRACT),KEYWORDS (5 ),SECTOR,SOURCE  URL,THREAT ACTOR,TITLE,TYPE OF INCIDENT
No,5/3/2025,"HUMANs Satori Threat Intelligence team identified and partially disrupted BADBOX 2.0, the largest ever botnet comprised of compromised consumer IoT devices, including smart TVs, TV boxes, digital projectors, and infotainment units. The operation is an evolved and much more expansive rebrand of the earlier BADBOX scheme. Devices were infected through pre-installed backdoors, C2 triggers at first boot, or suspicious third-party app downloads. BADBOX 2.0 facilitated a range of fraudprogrammatic ad fraud, click fraud, residential proxy services, account takeover, and malware distribution across more than one million devices in 222 countries. Disruption efforts included sinkholing infrastructure in collaboration with Google, Trend Micro, and Shadowserver, effectively cutting off control over nearly half of the infected devices.",BADBOX 2.0; IoT botnet; fraud schemes; sinkholing; consumer devices,Others,https://www.humansecurity.com/learn/blog/satori-threat-intelligence-disruption-badbox-2-0/,BADBOX 2.0,Satori Threat Intelligence Disruption: BADBOX 2.0 Targets Consumer Devices with Multiple Fraud Schemes,Fraud
No,5/3/2025,"The BadBox Android malware botnet was disrupted by removing 24 malicious apps from Google Play and sinkholing communications for approximately 500,000 infected devices. The malware targets low-cost Android-based equipment such as TV boxes, tablets, smart TVs, and smartphonesoften pre-loaded by manufacturers or delivered via malicious apps or firmware downloads. Once infected, these devices are turned into residential proxies, generating fake ad impressions and redirecting users to low-quality domains for fraud. Following the disruption, itâ€™s estimated that the botnet has grown to over 1,000,000 infections worldwide, affecting devices across 222 countries, especially Brazil, the U.S., Mexico, and Argentina. Google removed the apps, introduced a Play Protect enforcement rule to warn users and block future installations of BadBox 2.0 apps, and terminated monetized publisher accounts linked to it.",BadBox; Android malware; botnet; sinkholing; residential proxy; ad fraud,Others,https://www.bleepingcomputer.com/news/security/badbox-malware-disrupted-on-500k-infected-android-devices/,BADBOX,BadBox malware disrupted on 500K infected Android devices,Malware
No,5/4/2024,DarkReading reports SEXi ransomwarefocus on VMware hypervisors. The attackers seek to maximize impact on IT infrastructure. Targeting hypervisors can disrupt multiple virtual machines. This increases leverage in ransom demands. Defenders must prioritize securing virtualization layers.,SEXi;VMware;Hypervisor;Ransomware;Infrastructure,Others,https://www.darkreading.com/threat-intelligence/sexi-ransomware-desires-vmware-hypervisors,SEXi,Sexi Ransomware Desires Vmware Hypervisors,Ransomware
No,5/5/2020,"Darktrace observed a targeted Dharma ransomware attack on a UK company that began via exposed RDP access, reflecting how remote protocols remain a high-risk vector.","Dharma, RDP intrusion, legacy ransomware, SMPv1, anomaly detection",Others,https://www.darktrace.com/blog/old-but-still-dangerous-dharma-ransomware-via-rdp-intrusion,Dharma,The Ongoing Threat of Dharma Ransomware Attacks,Ransomware
No,5/6/2024,"A ransomware attack attributed to the Qilin gang hit Synnovis, a pathology services provider, disrupting major NHS hospitals in London, causing postponed procedures and ongoing service outages, with double-extortion tactics used.","Qilin,Ransomware,London,NHS,Healthcare",Healthcare Services,https://www.bleepingcomputer.com/news/security/qilin-ransomware-gang-linked-to-attack-on-london-hospitals/,Qilin,Qilin ransomware gang linked to attack on London hospitals,Ransomware
No,5/6/2024,"In May 2024, the 'Fog' ransomware operation emerged, targeting organizations in the United States, primarily within the education and recreation sectors. The attackers gained initial access through stolen VPN credentials, exploiting vulnerabilities in VPN gateway vendors. Once inside, they compromised administrator accounts and established remote desktop protocol (RDP) connections to Windows servers running Hyper-V and Veeam data protection software. Utilizing tools like Metasploit and PsExec, they encrypted data stored in virtual environments and left ransom notes demanding payment for decryption. Notably, the attackers did not exfiltrate data or operate leak sites, indicating a single-extortion approach aimed at quick payouts.","Fog ransomware, VPN exploitation, Single-extortion, Education sector, Credential stuffing",Education,https://www.darkreading.com/threat-intelligence/fog-ransomware-rolls-in-to-target-education-recreation-sectors,Fog,"Fog' Ransomware Rolls in to Target Education, Recreation Sectors",Ransomware
No,5/7/2021,"On July 2, 2021, the REvil ransomware group launched a massive supply-chain attack by exploiting a zero-day vulnerability in Kaseya VSA, a cloud-based solution used by managed service providers (MSPs). This breach affected approximately 60 MSPs and over 1,500 of their business customers worldwide. REvil demanded $70 million in Bitcoin for a universal decryptor to restore all compromised systems. The gang claimed to have encrypted over a million systems, marking one of the most significant ransomware attacks in history.","REvil, Kaseya, ransomware, MSPs, supply-chain attack","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/revil-ransomware-asks-70-million-to-decrypt-all-kaseya-attack-victims/,Revil,REvil ransomware asks $70 million to decrypt all Kaseya attack victims,Ransomware
No,5/7/2023,"Cybleâ€™s CRIL researchers analyzed a new ransomware strain known as ""Underground Team Ransomware"", named after its ransom note. The groupâ€™s ransom note is unique: it offers victims not only a decryptor but also suggestions for network vulnerability fixes and data recovery support. The ransom appears tailored, including host-specific information within the note, implying targeted attacks. The malware is a 64-bit GUI-based Visual C/C++ application, which uses ShellExecuteW() to delete shadow copies, modify registry settings, and stop MSSQL services before identifying system volumes and deploying its ransom notes. Though novel in approach, no actual data leak was reported in this analysis.",decryptor offer; vulnerability insights; host-specific ransom note; ShellExecuteW API; GUI-based malware,"Information, Communication And Digital",https://cyble.com/blog/underground-team-ransomware-demands-nearly-3-million/?utm_source=chatgpt.com,UndergroundTeam,Underground Team Ransomware Demands Nearly $3 Million,Ransomware
No,5/7/2024,A new Go-based ransomware called Eldorado emerged in March with locker variants targeting both Windows and VMware ESXi VMs. Itâ€™s advertised via RAMP forums to attract skilled affiliates.,"Eldorado, RaaS, Go, ChaCha20, VMware ESXi",Others,https://www.bleepingcomputer.com/news/security/new-eldorado-ransomware-targets-windows-vmware-esxi-vms/,eldorado,"New Eldorado ransomware targets Windows, VMware ESXi VMs",Ransomware
No,5/7/2024,"Threat actors set up a fake VPN distribution site to spread CryptBot and Vidar trojans. Unsuspecting users downloading VPN clients were instead infected with info-stealing malware. The malware exfiltrated credentials, crypto wallets, and sensitive user data. Researchers highlighted how attackers increasingly impersonate trusted services to trick victims. This campaign reinforces the need for verifying software sources.","Fake VPN, CryptBot, Vidar, trojan, credential theft","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/fake-vpn-site-pushes-cryptbot-and-vidar-info-stealing-trojans/,Vidar,Fake VPN Site Pushes CryptBot and Vidar Info-Stealing Trojans,Malware
No,5/8/2024,Reports note an increase in automated internet scanning. Cybercriminals are probing for vulnerable systems. This trend accelerates exploitation of unpatched devices. Organizations face higher risks from opportunistic attacks. Continuous monitoring and patching are essential defenses.,Scanning;Automation;Exploitation;Unpatched;Cybercrime,Others,https://www.infosecurity-magazine.com/news/apt-stormbamboo-isp-dns-poisoning/,Daggerfly,Apt Stormbamboo Isp Dns Poisoning,Others
No,5/9/2019,"Researchers noticed two ransomware variants operating under the same BitPaymer name in July 2019. Upon analysis, significant similarities were found in code, ransom notes, and payment portal design. CrowdStrike deduced that the DoppelPaymer variant was likely a fork resulting from a splinter group of INDRIK SPIDER. Following the report, the actors behind the variant began using the name DoppelPaymer, including on their own Tor-based payment site. This illustrates how cybersecurity research directly influenced threat actor branding.",ransomware naming; DoppelPaymer; BitPaymer; code fork; naming adoption,Others,https://www.bleepingcomputer.com/news/security/ransomware-adopts-doppelpaymer-name-given-by-researchers/,BitPaymer,Ransomware Adopts DoppelPaymer Name Given by Researchers,Ransomware
No,5/9/2022,"EvilProxy is a phishing-as-a-service platform that simplifies credential and session cookie theft through a reverse-proxy mechanism. It intercepts authentication flows by mirroring legitimate login formsacting as a transparent bridge while harvesting session cookies that allow bypassing of MFA. Designed for ease of use, it offers a GUI-based setup, tutorial guidance, and cloned phishing templates, enabling even low-skill actors to launch sophisticated MFA-bypassing phishing campaigns. The service includes anti-analysis measuressuch as VM detection and IP reputation filteringto evade automated defenses. EvilProxy is sold via subscription (e.g., $150 for 10 days, up to $600 for Google targeting), with access granted only after vetting via Telegram and deployment through a Tor-hosted portal.","EvilProxy PhaaS, Reverse-proxy phishing, Session cookie theft, MFA bypass, Low-skill actor enablement",Others,https://www.bleepingcomputer.com/news/security/new-evilproxy-service-lets-all-hackers-use-advanced-phishing-tactics/,EvilProxy,New EvilProxy service lets all hackers use advanced phishing tactics,Phishing
No,5/9/2022,QNAP warned customers of ongoing DeadBolt ransomware attacks that began by exploiting a zero-day vulnerability in the Photo Station app.,"DeadBolt, zero-day, Photo Station, NAS, QuMagie",Others,https://www.bleepingcomputer.com/news/security/qnap-patches-zero-day-used-in-new-deadbolt-ransomware-attacks/,DeadBolt,QNAP patches zero-day used in new DeadBolt ransomware attacks,Ransomware
No,6/2/2020,"A phishing campaign targeted Android users, tricking them into disabling Google Play Protect under the guise of permission requests, only to deliver the Anubis banking Trojan. The phishing email contained a malicious link that downloaded an APK disguised as an invoice. Once installed, the APK disables Play Protect, allowing Anubis to install silently. The Trojan targets over 250 banking and shopping applications, overlaying fake login screens to harvest credentials. It also includes capabilities like disabling security settings, recording audio, capturing screenshots, sending SMS or calls, stealing contacts, accessing VNC, and using a ransomware module to encrypt files","Anubis, phishing, Google Play Protect, banking Trojan, ransomware module",Others,https://www.bleepingcomputer.com/news/security/phishing-attack-disables-google-play-protect-drops-anubis-trojan/,Anubis,"Phishing Attack Disables Google Play Protect, Drops Anubis Trojan",Phishing
No,6/3/2024,"Cisco Talos reports that GhostSec and Stormous have teamed up to conduct double-extortion ransomware attacks in over 15 countries, using a Golang variant called GhostLocker. They launched a Ransomware-as-a-Service program named STMX_GhostLocker, offering paid, free, and data-publication services to affiliates. Targeted sectors include technology, education, manufacturing, government, transportation, energy, medicolegal, real estate, and telecom across countries like Cuba, China, India, Brazil, and others. Affiliates can monitor operations via a web panel and configure payloads using a builder. The collaboration is part of a coalition dubbed The Five Families.â€",GhostLocker; RaaS; double extortion; STMX_GhostLocker; GhostSecâ€“Stormous alliance,Education,https://thehackernews.com/2024/03/alert-ghostsec-and-stormous-launch.html?utm_source=chatgpt.com,Storms,Alert: GhostSec and Stormous Launch Joint Ransomware Attacks in Over 15 Countries,Ransomware
No,6/3/2025,"During an incident response, cybersecurity firm S-RM discovered that the Akira ransomware gang used an unsecured webcam to attack a victim's network by circumventing their Endpoint Detection and Response (EDR) system. The attackers initially gained access via a remote access solution using stolen credentials or brute force, deploying AnyDesk for lateral movement and data exfiltration. After their ransomware payload (win.exe in a password-protected ZIP) was blocked by EDR, they identified IoT devicesnamely a webcam and fingerprint scanneras alternative attack vectors. The webcam ran Linux, lacked EDR monitoring, and was vulnerable to remote shell access, making it ideal to run Akiraâ€™s Linux encryptor; they mounted SMB network shares and encrypted files across the network undetected. This technique highlights the cybersecurity risk posed by IoT devices and underscores that unmonitored peripherals can undermine conventional endpoint defenses.",Akira; webcam pivot; EDR bypass; IoT device; SMB encryption,Others,https://www.bleepingcomputer.com/news/security/ransomware-gang-encrypted-network-from-a-webcam-to-bypass-edr/,Akira,Ransomware gang encrypted network from a webcam to bypass EDR,Ransomware
No,6/3/2025,"Since January 2023, the Medusa ransomware group has claimed nearly 400 victims, with activity rising 42% between 2023 and 2024. In the first two months of 2025 alone, it added over 40 new victims, according to Symantecâ€™s Threat Hunter Team. Operating under the name Spearwing, the group uses double extortionstealing data before encrypting systems, then threatening release to coerce payments. They post stolen data to leak sites if victims refuse to pay. The surge in Medusa activity suggests it may be exploiting openings left by other gangs disrupted in that period.","Medusa, Spearwing, double extortion, ransomware, data leaks","Information, Communication And Digital",https://thehackernews.com/2025/03/medusa-ransomware-hits-40-victims-in.html,MEDUSA,"Medusa Ransomware Hits 40+ Victims in 2025, Demands $100Kâ€“$15M",Ransomware
No,6/3/2025,"Talos researchers connected the China-linked Lotus Blossom APT (also known as Elise/Esile) to campaigns targeting organizations in the Philippines, Vietnam, Hong Kong, and Taiwan across government, manufacturing, telecommunications, and media sectors using new variants of the Sagerunex backdoor. The group has been active since at least 2012, using Sagerunex since at least 2016; the new variants leverage cloud services (Dropbox, Twitter, Zimbra) for command-and-control instead of traditional VPS servers. These variants are engineered to gather, encrypt, and exfiltrate host information; Dropbox and Twitter variants were used 2018â€“2022, with the Zimbra variant active since 2019. The backdoor is a DLL-injected RAT, persistent and network-strategic, and Talos identified additional evasion tools such as cookie stealer, venom proxy, privilege adjuster, archiver, port relay, and RAR tool. The malware includes time-based delays, system checks, VMProtect obfuscation, and encrypted loaders to maintain long-term persistence; the report includes IOCs.","Lotus Blossom, Sagerunex, cloud C2 (Dropbox/Twitter/Zimbra), persistence, APT",Government,https://securityaffairs.com/174976/apt/lotus-blossom-apt-sagerunex-backdoor.html,Lotus Blossom,Chinese Lotus Blossom APT targets multiple sectors with Sagerunex backdoor,Others
No,6/5/2025,"Akamai SIRT observed exploitation of two command injection flaws (CVE-2024-6047 and CVE-2024-11120) in GeoVision IoT devices to inject commands via the szSrvIpAddr parameter and download the ARM Mirai variant LZRD.â€ This began in early April 2025 and may overlap with InfectedSlurs activity. Additionally, a path traversal flaw in Samsung MagicINFO 9 Server (CVE-2024-7399), and possibly an unpatched new flaw, was exploited to deploy Mirai as well. The PoC for the MagicINFO flaw was published April 30, 2025; even the latest version remained vulnerable, indicating incomplete patching. The use of outdated, unsupported firmware made affected devices easy targets for botnet enlistment.","Mirai, MagicINFO, GeoVision, CVE-2024-7399, LZRD","Information, Communication And Digital",https://thehackernews.com/2025/05/hackers-exploit-samsung-magicinfo.html,Mirai,"Hackers exploit Samsung MagicINFO, GeoVision IoT flaws to deploy Mirai botnet",Botnet
No,6/6/2019,"The Iranian MuddyWater APT group expanded its cyber-espionage campaigns by adding new tools and attack vectors targeting telecommunication and government organizations. Despite having internal server details leaked on Telegram, the group continued operations with macro-powered Word documents and exploits of CVE-2017-0199. These malicious documents download second-stage payloads disguised as JPG files from compromised servers. If unable to contact command-and-control servers, the malware redirects victims to Wikipedia. The group has also been observed diversifying targets globally and incorporating advanced anti-detection techniques during the BlackWater campaign.","MuddyWater, APT, CVE-2017-0199, Cyber-espionage, BlackWater",Government,https://www.bleepingcomputer.com/news/security/the-muddywater-apt-group-adds-new-tools-to-their-arsenal/,MuddyWater,The MuddyWater APT Group Adds New Tools to Their Arsenal,Malware
No,6/6/2024,"In early May 2024, a new ransomware operation named 'Fog' emerged, targeting U.S. educational organizations by exploiting compromised VPN credentials. The attackers gain unauthorized access to internal networks and deploy ransomware that encrypts files and steals data, demanding a ransom for decryption and non-disclosure. The ransomware appends '.FOG' or '.FLOCKED' extensions to encrypted files and creates a ransom note with instructions for payment. The operation has been active since at least May 23, 2024, and has not yet established a public extortion portal.","Fog ransomware, VPN exploitation, Double-extortion, Education sector, Data theft",Education,https://www.bleepingcomputer.com/news/security/new-fog-ransomware-targets-us-education-sector-via-breached-vpns/,Fog,New Fog ransomware targets US education sector via breached VPNs,Ransomware
No,6/8/2024,Chinese hackers target Mac users with MacMa malware. TechRadar warns about risks from this malware campaign. The malware exfiltrates sensitive user data. Distribution methods include compromised apps. Experts urge macOS users to update security patches.,MacMa;macOS;Chinese Hackers;Malware;Backdoor,Others,https://izoologic.com/region/china/new-macma-macos-malware-deployed-by-evasive-panda/,Macma,New Macma Macos Malware Deployed By Evasive Panda,Malware
No,6/9/2020,"Argentinaâ€™s National Migration Directorate was hit by Netwalker ransomware, which disrupted border operations due to infected central data systems. The breach paralyzed checkpoints, leading to border entry and exit delays, as confirmed by immigration offices. The attackers initially demanded $2 million but raised it to $4 million after seven days, shared via Tor payment portals. Screenshots of stolen data appear on the gangâ€™s data leak site, but sensitive content is withheld from media. The ransom note includes instructions for decryptor access and references unencrypted files stolen during the attack.","Netwalker, Argentina, $4M ransom, border disruption, data leak",Government,https://www.bleepingcomputer.com/news/security/netwalker-ransomware-hits-argentinian-government-demands-4-million/,NetWalker,"Netwalker Ransomware Hits Argentinian Government, Demands $4 Million",Ransomware
No,6/9/2024,The Daixin ransomware gang claimed an attack on Omni Hotels. Guest data and operations were disrupted. The attack highlights risks to hospitality industries. Daixin continues targeting healthcare and services. Ransomware resilience remains a priority across sectors.,Daixin;Ransomware;Omni Hotels;Hospitality;Attack,Others,https://thehackernews.com/2024/09/geoserver-vulnerability-targeted-by.html,CVE-2024-36401,Geoserver Vulnerability Targeted By.Html,Ransomware
No,7/1/2024,"A prolonged campaign delivered AsyncRAT via malicious emails over at least 11 months, using hundreds of distinct loader samples and more than 100 domains. The loader, delivered through hijacked email threads with GIF attachments, deployed SVG-based obfuscated JavaScript and PowerShell scripts. Anti-sandbox checks determined if the environment was safe; decoy payloads were used otherwise. The campaign targeted carefully selected individuals linked to U.S. infrastructure. AT&T Alien Labs observed a domain generation algorithm (DGA) producing new C2 domains weekly, with predictable registration patterns.","AsyncRAT, phishing, long-term campaign, anti-sandboxing, DGA",Others,https://www.bleepingcomputer.com/news/security/stealthy-asyncrat-malware-attacks-targets-us-infrastructure-for-11-months/,AsyncRat,Stealthy AsyncRAT malware attacks targets US infrastructure for 11 months,Phishing
No,7/10/2024,"The Salt Typhoon hacking group, also known by other aliases such as Earth Estries, FamousSparrow, Ghost Emperor, and UNC2286, has reportedly breached the networks of multiple U.S. broadband providers, including AT&T, Verizon, and Lumen Technologies. The breaches appear to have targeted systems used by the U.S. federal government for court-authorized network wiretapping requests. The hackers may have had access to these systems for months or longer, potentially capturing sensitive communications data. The full extent of the data accessed or exfiltrated is still under investigation by U.S. government agencies and cybersecurity experts.","Salt Typhoon, Wiretapping systems, Telecom breaches, Chinese cyber espionage, US government surveillance",Government,https://www.bleepingcomputer.com/news/security/atandt-verizon-reportedly-hacked-to-target-us-govt-wiretapping-platform/,Flax Typhoon,"AT&T, Verizon reportedly hacked to target US govt wiretapping platform",Others
No,7/11/2021,"International law enforcement agencies conducted Operation Cyclone, targeting the Clop ransomware group. Authorities arrested several individuals in Ukraine suspected of laundering money from ransomware operations. The coordinated action also disrupted infrastructure used by the gang. While Clopâ€™s ransomware activity was temporarily affected, researchers noted the groupâ€™s resilience and potential for resurgence. The case highlights global efforts to counter ransomware operations through cross-border cooperation.","Operation Cyclone, Clop ransomware, law enforcement, arrests, cybercrime disruption","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/operation-cyclone-deals-blow-to-clop-ransomware-operation/,Clop,Operation Cyclone deals blow to Clop ransomware operation,Others
No,7/11/2023,"BlueNoroff, a subgroup of North Korea's Lazarus APT, has been observed deploying a new backdoor malware called ObjCShellz against macOS devices. The malware provides attackers with command execution capabilities, enabling remote control over compromised systems. It was primarily used in campaigns targeting cryptocurrency and financial organizations. ObjCShellz enhances BlueNoroff's toolkit for infiltrating macOS environments, which are increasingly used in financial operations. The campaign underscores the persistent threat posed by North Korean APT groups to the crypto sector.","BlueNoroff, ObjCShellz, macOS malware, cryptocurrency, Lazarus APT",Banking And Finance,https://www.bleepingcomputer.com/news/security/bluenoroff-hackers-backdoor-macs-with-new-objcshellz-malware/,BlueNoroff,BlueNoroff hackers backdoor Macs with new ObjCShellz malware,Others
No,7/11/2024,"A North Korean state-backed hacking group has deployed a new malware targeting macOS systems used by cryptocurrency firms. The malware is delivered through social engineering and malicious applications disguised as legitimate tools. Once installed, it enables remote access, credential theft, and surveillance of victim systems. This campaign continues North Koreaâ€™s trend of targeting cryptocurrency organizations to generate illicit revenue. The attack demonstrates increasing specialization of APTs in compromising macOS platforms.","North Korean hackers, macOS malware, cryptocurrency, financial theft, APT",Banking And Finance,https://www.bleepingcomputer.com/news/security/north-korean-hackers-use-new-macos-malware-against-crypto-firms/,BlueNoroff,North Korean hackers use new macOS malware against crypto firms,Others
No,7/12/2021,"A new Cerber ransomware variant has been observed exploiting vulnerabilities in Atlassian Confluence and GitLab servers. The attackers scan for unpatched systems, gain access, and deploy ransomware payloads to encrypt critical data. This campaign targets enterprises relying on popular collaboration and development platforms. By focusing on widely used software, the attackers maximize their potential impact across industries. The attack illustrates the ongoing exploitation of unpatched vulnerabilities in enterprise IT environments.","Cerber ransomware, Confluence, GitLab, vulnerabilities, enterprise servers","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/new-cerber-ransomware-targets-confluence-and-gitlab-servers/,Cerber,New Cerber ransomware targets Confluence and GitLab servers,Ransomware
No,7/2/2020,"A new variant of Emotet includes a Wi-Fi worm module that scans for nearby insecure wireless networks and brute-forces its way onto them. Once connected, it searches for Windows systems with non-hidden shares, cracking user and Administrator accounts to deploy a malicious payload. This payload installs a service disguised as Windows Defender System Serviceâ€ to maintain persistence on infected machines. The espionage and propagation moduleworm.exe combined with service.exehad been active since at least April 2018 but went undetected until early 2020 due to infrequent deployment. This advancement in Emotetâ€™s capabilities marks a dangerous escalation from traditional email-based delivery to network-based lateral movement.","Emotet Wi-Fi worm, Insecure wireless networks, Lateral movement, Multi-stage malware, Persistence via rogue service","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/emotet-hacks-nearby-wi-fi-networks-to-spread-to-new-victims/,Emotet,Emotet Hacks Nearby Wi-Fi Networks to Spread to New Victims,Malware
No,7/2/2022,"The Medusa Android banking Trojanalso known as TangleBothas increased activity by targeting more regions, particularly North America and Europe. Researchers at ThreatFabric reported that Medusa now uses the same distribution service as FluBot to conduct smishing (SMS phishing) campaigns. Samples seen alongside Cabassous campaigns carry tags like FLUVOICE, FLUFLASH, and FLUDHL, referencing FluBot campaigns. Medusa abuses Androidâ€™s Accessibility scripting engine to masquerade user actions for fraud. Its expanded geographic targeting and delivery mechanism use underscore its evolving threat profile.","Medusa, TangleBot, SMS phishing, FluBot, Accessibility",Others,https://www.bleepingcomputer.com/news/security/medusa-malware-ramps-up-android-sms-phishing-attacks/,MEDUSA,Medusa malware ramps up Android SMS phishing attacks,Trojan
No,7/2/2023,"A new version of the Medusa botnetbased on Mirai source codereappeared with both DDoS and ransomware capabilities. This variant features a ransomware module and a Telnet brute-forcer. It continues the lineage of Medusa, an older malware strain active since darknet markets in 2015, adding Linux targeting and Miraiâ€™s versatile DDoS features. The ransomware function searches directories for valid file types and encrypts them using AES-256, appending a .medusastealerâ€ extension. The combination of DDoS and encryption functionality highlights a potent multi-vector threat.","Medusa botnet, Mirai, DDoS, ransomware module, Telnet brute-forcer",Others,https://www.bleepingcomputer.com/news/security/medusa-botnet-returns-as-a-mirai-based-variant-with-ransomware-sting/,MEDUSA,Medusa botnet returns as a Mirai-based variant with ransomware sting,Botnet
No,7/2/2023,"CISA has released an automated recovery script to help victims of the ESXiArgs ransomware recover their VMware ESXi virtual machines. The ransomware campaign encrypted configuration files on affected ESXi servers but left associated flat virtual disk files unencrypted, allowing recovery. The recovery script rebuilds the virtual machine metadata from the intact flat files, enabling admins to re-register and regain access to encrypted VMs. This tool was developed leveraging methods pioneered by third-party researchers like Enes Sonmez and Ahmet Aykac of YoreGroup. Victims are advised to apply VMware patches, disable the SLP service, and secure their ESXi servers to avoid future attacks.","ESXiArgs ransomware, VMware ESXi recovery script, CISA recovery tool, Configuration file reconstruction, Flat-file data recovery","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/cisa-releases-recovery-script-for-esxiargs-ransomware-victims/,ESXiArgs,CISA releases recovery script for ESXiArgs ransomware victims,Ransomware
No,7/3/2020,"In March 2020, cybercriminals exploited the global COVID-19 pandemic by distributing phishing emails masquerading as official WHO communications. These emails contained ZIP file attachments that, when opened, executed a downloader (GuLoader) leading to the installation of the FormBook infostealer Trojan. FormBook is capable of stealing sensitive information such as clipboard contents, keystrokes, and browsing data. The campaign highlights the use of social engineering tactics to exploit public health concerns for malicious purposes.","Formbook, GuLoader, Infostealer, Phishing, COVID-19",Others,https://www.bleepingcomputer.com/news/security/data-stealing-formbook-malware-preys-on-coronavirus-fears/,Formbook,Data-Stealing FormBook Malware Preys on Coronavirus Fears,Infostealer
No,7/3/2024,Chinese cyberspies deployed a new SSH backdoor in network devices. The backdoor allowed long-term persistence and control. Targets included ISPs and critical infrastructure. The malware was difficult to detect. It highlights APTs focus on network devices as entry points.,SSH;Backdoor;China;APT;Network Devices,"Information, Communication And Digital",https://www.infosecurity-magazine.com/news/evasive-panda-targets-tibet/,Daggerfly,Evasive Panda Targets Tibet,Others
No,7/3/2025,"The LockBit ransomware gang suffered a data breach, with its dark web affiliate panels defaced to include a link to a MySQL database dump. Analysis revealed the database contained 59,975 Bitcoin addresses, ransomware build configurations, 4,442 victim negotiation messages, and a list of 75 admins and affiliates with plaintext passwords. LockBit's operator confirmed the breach, which further damages the gang's reputation, following an earlier law enforcement takedown","lockbit, data breach, dark web, MySQL database, victim negotiations","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/lockbit-ransomware-gang-hacked-victim-negotiations-exposed/,LockBit,"LockBit ransomware gang hacked, victim negotiations exposed",Data Breached
No,7/4/2025,"The Everest ransomware gangâ€™s dark web leak site was hacked and defaced over a weekend in early April 2025, with the home page replaced by a sarcastic message: Donâ€™t do crime CRIME IS BAD xoxo from Prague.â€ The site subsequently went offline, displaying an Onion site not foundâ€ error. Analysts suspect the groupâ€™s use of a WordPress template may have introduced a vulnerability that attackers exploited to breach the site. Everest, active since 2020 and known for operating both as a ransomware and initial access broker, had listed over 230 victimsincluding high-profile targets like STIIIZY and U.S. healthcare organizations. This incident highlights the irony of a criminal group falling victim to its own lack of cybersecurity hygiene.","Dark web leak site defacement, Everest ransomware, WordPress vulnerability, Cybercriminal infrastructure breach, Leak site takedown","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/cisa-releases-recovery-script-for-esxiargs-ransomware-victims/,Everest,"Everest ransomware's dark web leak site defaced, now offline",Web Defacement
No,7/5/2023,"A newly discovered ransomware strain called Cactus uses an unusual self-encryption method to avoid antivirus detection. Attackers deploy the malware in encrypted form, only decrypting it at runtime to hinder analysis and detection. Once active, Cactus encrypts victim files and demands ransom for decryption keys. Researchers report that the group also exfiltrates sensitive data as part of a double extortion scheme. The technique illustrates the continued innovation of ransomware developers to bypass security defenses.","Cactus ransomware, self-encryption, antivirus evasion, double extortion, malware innovation",Others,https://www.bleepingcomputer.com/news/security/new-cactus-ransomware-encrypts-itself-to-evade-antivirus/,Cactus,New Cactus ransomware encrypts itself to evade antivirus,Ransomware
No,7/7/2021,"Threat actors distributed fake Kaseya VSA security updates to compromise networks in the wake of the REvil ransomware incident. The bogus updates installed Cobalt Strike beacons, giving attackers remote access and persistence. This allowed adversaries to prepare for ransomware deployment and further intrusions. The campaign exploited organizations already under pressure from the Kaseya breach, amplifying its impact. The incident demonstrates how attackers weaponize trusted software update channels to spread malware.","Kaseya VSA, fake update, Cobalt Strike, supply-chain attack, REvil","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/fake-kaseya-vsa-security-update-backdoors-networks-with-cobalt-strike/,Cobalt Strike,Fake Kaseya VSA security update backdoors networks with Cobalt Strike,Malware
No,7/7/2022,"On July 7, 2022, a CISA alert referenced Stairwellâ€™s Maui Ransomwareâ€ report regarding North Korean state-sponsored actors targeting the Healthcare and Public Health sector. The malwareâ€™s first known compilation occurred on April 15, 2021, possibly marking the first Maui ransomware incident, with the first target in Japan. Approximately ten hours before deploying Maui ransomware, the threat group deployed a variant of DTrack malware, which had been foreshadowed by a suspicious 3proxy deployment months earlier. These signals reinforce attribution to the North Korean APT known as Andariel, aka Silent Chollima or Stonefly. The campaign evidences a coordinated multi-stage intrusion leading to ransomware deployment.","Maui ransomware, DTrack, Andariel, 3proxy, Healthcare sector",Healthcare Services,https://securelist.com/andariel-deploys-dtrack-and-maui-ransomware/107063/,Maui,Andariel deploys DTrack and Maui ransomware,Ransomware
